013STARRL.html,013STARRL.html.txt,Alexandra Starr,female,Azadeh Moaveni,female,,2005,http://www.nytimes.com/2005/03/13/books/review/013STARRL.html,lipstick jihad lipstick jihad ,(Autobiography; Cultural; Nonfiction; Biography; Religion;';1586483781)
013STERNL.html,013STERNL.html.txt,and,male,Phyllis Diller,female,,2005,http://www.nytimes.com/2005/03/13/books/review/013STERNL.html,like a lampshade in a whorehouse: my life in comedy like a lampshade in a whorehouse: my life in comedy ,(Autobiography; Biography Memoir; Nonfiction; Biography;';078627557X)
013TODARO.html,013TODARO.html.txt,Lenora Todaro,female,Pablo Medina,male,,2005,http://www.nytimes.com/2005/03/13/books/review/013TODARO.html,cigar roller  the cigar roller  the ,(Cultural; Fiction;';0802142370)
01BROUWER.html,01BROUWER.html.txt,Joel Brouwer,male,Kevin Young,male,,2005,http://www.nytimes.com/2005/05/01/books/review/01BROUWER.html,black maria: being the adventures of delilah redbone and a. k. a. jones black maria: being the adventures of delilah redbone and a. k. a. jones ,(Apocalyptic; Young Adult; Fantasy; Fiction; Romance; Science Fiction; Adventure; Action;';0439023483)
01CONOVER.html,01CONOVER.html.txt,Ted Conover,male,Steve Bogira,male,,2005,http://www.nytimes.com/2005/05/01/books/review/01CONOVER.html,courtroom 302: a year behind the scenes in an american criminal courthouse courtroom 302: a year behind the scenes in an american criminal courthouse ,(Mystery; Social Issues; Sociology; Writing; Crime; United States; Nonfiction; Politics; Law; History;';0679752064)
01fenton.html,01fenton.html.txt,James Fenton,male,James Fenton,male,,2006,http://www.nytimes.com/2006/01/01/books/review/01fenton.html,wordsworth: a life wordsworth: a life ,(History; Literature; Nonfiction; Biography; Poetry;';0060787317)
01FISHMAN.html,01FISHMAN.html.txt,Boris Fishman,male,Marina Lewycka,female,,2005,http://www.nytimes.com/2005/05/01/books/review/01FISHMAN.html,snow white and russian red snow white and russian red ,(Literature; Humor; Novels; Modern; Contemporary; Fiction; Surreal; Cultural; European Literature;';0802170013)
01GRISHAM.html,01GRISHAM.html.txt,John Grisham,male,Buzz Bissinger,male,,2005,http://www.nytimes.com/2005/05/01/books/review/01GRISHAM.html,three nights in august: strategy  heartbreak  and joy inside the mind of a manager three nights in august: strategy  heartbreak  and joy inside the mind of a manager ,(Autobiography; Management; Sports and Games; Sports; Nonfiction; Writing; Biography; History;';0618710531)
01HARRISO.html,01HARRISO.html.txt,Kathryn Harrison,female,Sue Miller,female,,2005,http://www.nytimes.com/2005/05/01/books/review/01HARRISO.html,lost in the forest lost in the forest ,(Novels; Contemporary; Fiction;';0345469593)
01horgan.html,01horgan.html.txt,John Horgan,male,Albert Einstein,male,,2006,http://www.nytimes.com/2006/01/01/books/review/01horgan.html,elegant universe  the elegant universe  the ,(Science; Nonfiction;';039333810X)
01KUNKEL.html,01KUNKEL.html.txt,Benjamin Kunkel,male,Jeanette Winterson,female,,2005,http://www.nytimes.com/2005/05/01/books/review/01KUNKEL.html,lighthousekeeping lighthousekeeping ,(Literary Fiction; Literature; Glbt; Contemporary; Fiction;';0156032899)
01LETHEML.html,01LETHEML.html.txt,Jonathan Lethem,male,Franz Kafka,male,,2005,http://www.nytimes.com/2005/05/01/books/review/01LETHEML.html,k. k. ,(Young Adult; Childrens; Science Fiction Fantasy; Novels; Fiction; Fantasy; Adventure; Classics;';4915512495)
01marshall.html,01marshall.html.txt,Megan Marshall,female,Anthony Holden,male,,2006,http://www.nytimes.com/2006/01/01/books/review/01marshall.html,wit in the dungeon  the wit in the dungeon  the ,(Biography; History;';0316067520)
01MILLERL.html,01MILLERL.html.txt,Laura Miller,female,Nicole Krauss,female,,2005,http://www.nytimes.com/2005/05/01/books/review/01MILLERL.html,history of love  the history of love  the ,(Romance; Contemporary; Historical Fiction; Fiction;';0393328627)
01PYEL.html,01PYEL.html.txt,Michael Pye,male,Sybille Bedford,female,,2005,http://www.nytimes.com/2005/05/01/books/review/01PYEL.html,quicksands: a memoir quicksands: a memoir ,(Autobiography; Cultural; Nonfiction; Biography; European Literature;';1582433518)
01QUARTL.html,01QUARTL.html.txt,Alissa Quart,female,Christina Hoff Sommers,female,,2005,http://www.nytimes.com/2005/05/01/books/review/01QUARTL.html,one nation under therapy: how the helping culture is eroding self-reliance one nation under therapy: how the helping culture is eroding self-reliance ,(Social Science; Politics; Philosophy; Nonfiction; Psychology;';0312304447)
01REICHL.html,01REICHL.html.txt,Walter Reich,male,Roger Cohen,male,,2005,http://www.nytimes.com/2005/05/01/books/review/01REICHL.html,soldiers and slaves: american pows trapped by the nazis' final gamble soldiers and slaves: american pows trapped by the nazis' final gamble ,(War; Literature; World War II; Nonfiction; History;';0385722311)
01SCHULBE.html,01SCHULBE.html.txt,Budd Schulberg,male,Orson Welles,male,,2005,http://www.nytimes.com/2005/05/01/books/review/01SCHULBE.html,despite the system: orson welles versus the hollywood studios despite the system: orson welles versus the hollywood studios ,(Culture; Nonfiction;';1556526202)
01SCHWARZ.html,01SCHWARZ.html.txt,Alan Schwarz,male,Frank Deford,male,,2005,http://www.nytimes.com/2005/05/01/books/review/01SCHWARZ.html,old ball game  the: how john mcgraw  christy mathewson  and the new york giants created modern baseball old ball game  the: how john mcgraw  christy mathewson  and the new york giants created modern baseball ,(History; Sports and Games; Nonfiction; Biography; Sports;';0802142478)
01WINNERL.html,01WINNERL.html.txt,Lauren F. Winner,female,Anne Lamott,female,,2005,http://www.nytimes.com/2005/05/01/books/review/01WINNERL.html,plan b: further thoughts on faith plan b: further thoughts on faith ,(Autobiography; Writing; Religion; Nonfiction; Spirituality;';1594481571)
01ZAKARIA.html,01ZAKARIA.html.txt,Fareed Zakaria,male,Thomas L Friedman,male,,2005,http://www.nytimes.com/2005/05/01/books/review/01ZAKARIA.html,world is flat  the: a brief history of the twenty-first century world is flat  the: a brief history of the twenty-first century ,(Politics; Economics; Nonfiction; Business; History;';0374292795)
020COVERHELLER.html,020COVERHELLER.html.txt,Zoe Heller,female,Ian Mcewan,male,,2005,http://www.nytimes.com/2005/03/20/books/review/020COVERHELLER.html,saturday saturday ,(Literature; European Literature; Contemporary; Fiction;';1400076196)
020DEBELL.html,020DEBELL.html.txt,Christopher De Bellaigue,male,Amitava Kumar,male,,2005,http://www.nytimes.com/2005/03/20/books/review/020DEBELL.html,husband of a fanatic: a personal journey through india  pakistan  love  and hate husband of a fanatic: a personal journey through india  pakistan  love  and hate ,(Religion; Cultural; Nonfiction; Islam;';1565849264)
020EBERST.html,020EBERST.html.txt,Fernanda Eberstadt,female,Steve Stern,male,,2005,http://www.nytimes.com/2005/03/20/books/review/020EBERST.html,angel of forgetfulness  the angel of forgetfulness  the ,(Fantasy; Fiction;';014303734X)
020LYALLL.html,020LYALLL.html.txt,Sarah Lyall,female,Jennie Erdal,female,,2005,http://www.nytimes.com/2005/03/20/books/review/020LYALLL.html,ghosting ghosting ,(Graphic Novels Comics; Sequential Art; Fiction;';1560974273)
020PROCTO.html,020PROCTO.html.txt,Minna Proctor,female,Linda Ferri,female,,2005,http://www.nytimes.com/2005/03/20/books/review/020PROCTO.html,enchantments enchantments ,(Romance; Fantasy; Science Fiction Fantasy; Science Fiction; Fiction;';0345482409)
020RAFFER.html,020RAFFER.html.txt,Terrence Rafferty,male,John Edgar Wideman,male,,2005,http://www.nytimes.com/2005/03/20/books/review/020RAFFER.html,god's gym god's gym ,(Literature; Roman; European Literature; Fiction;';9023412222)
020SHAFER.html,020SHAFER.html.txt,Jack Shafer,male,Robert S Boynton,male,,2005,http://www.nytimes.com/2005/03/20/books/review/020SHAFER.html,new new journalism  the new new journalism  the ,(Anthologies; Nonfiction; Language; Writing;';140003356X)
020SHESOL.html,020SHESOL.html.txt,Jeff Shesol,male,Patricia O'Toole,female,,2005,http://www.nytimes.com/2005/03/20/books/review/020SHESOL.html,when trumpets call when trumpets call ,(North American Hi...; Politics; Nonfiction; Biography; History;';0684864789)
020TUCKER.html,020TUCKER.html.txt,Ken Tucker,male,Sharon Waxman,female,,2005,http://www.nytimes.com/2005/03/20/books/review/020TUCKER.html,rebels on the backlot: six maverick directors rebels on the backlot: six maverick directors ,(Culture; Nonfiction; Biography; Media Tie In;';0060540184)
020ZACHAR.html,020ZACHAR.html.txt,Stephanie Zacharek,female,Peter Bogdanovich,male,,2005,http://www.nytimes.com/2005/03/20/books/review/020ZACHAR.html,who the hell's in it: portraits and conversations who the hell's in it: portraits and conversations ,(Autobiography; Culture; American; Nonfiction; Biography; Media Tie In;';0375400109)
027FRASER.html,027FRASER.html.txt,Steve Fraser,male,Kurt Eichenwald,male,,2005,http://www.nytimes.com/2005/03/27/books/review/027FRASER.html,conspiracy of fools: a true story conspiracy of fools: a true story ,(Crime; Economics; Nonfiction; Business; History;';0767911792)
027GEWENL.html,027GEWENL.html.txt,Barry Gewen,male,Arthur C Danto,male,,2005,http://www.nytimes.com/2005/03/27/books/review/027GEWENL.html,unnatural wonders unnatural wonders ,(Philosophy; Art; Nonfiction; Writing;';0374281181)
027JAMESL.html,027JAMESL.html.txt,Clive James,male,Camille Paglia,female,,2005,http://www.nytimes.com/2005/03/27/books/review/027JAMESL.html,break  blow  burn break  blow  burn ,(Criticism; Literature; Art; Poetry; Writing; Anthologies; Nonfiction;';0375725393)
027KUGELL.html,027KUGELL.html.txt,James Kugel,male,Jaroslav Pelikan,male,,2005,http://www.nytimes.com/2005/03/27/books/review/027KUGELL.html,whose bible is it? whose bible is it? ,(Christian; Religion; Spirituality; Nonfiction; Church; History;';0670033855)
027MALLON.html,027MALLON.html.txt,Thomas Mallon,male,Geraldine Brooks,female,,2005,http://www.nytimes.com/2005/03/27/books/review/027MALLON.html,march march ,(Military History; Historical; Historical Fiction; Fiction;';0143036661)
027REHAK.html,027REHAK.html.txt,Melanie Rehak,female,Chelsea Cain,female,,2005,http://www.nytimes.com/2005/03/27/books/review/027REHAK.html,confessions of a teen sleuth: a parody confessions of a teen sleuth: a parody ,(Mystery; Young Adult; Humor; Fiction; Adult Fiction; Womens Fiction; Adult;';1596911212)
027SCHILL.html,027SCHILL.html.txt,Liesl Schillinger,female,Francine Prose,female,,2005,http://www.nytimes.com/2005/03/27/books/review/027SCHILL.html,changed man  a changed man  a ,(Literature; Novels; Contemporary; Fiction; Literary Fiction; Historical Fiction;';0060560037)
027STERNL.html,027STERNL.html.txt,Jane Stern,female,Judith Moore,female,,2005,http://www.nytimes.com/2005/03/27/books/review/027STERNL.html,fat girl: a true story fat girl: a true story ,(Autobiography; Biography Memoir; Psychology; Food and Drink; Adult; Health; Nonfiction; Biography; Womens Fiction;';0452285852)
027TEPPER.html,027TEPPER.html.txt,Anderson Tepper,male,Edgardo Cozarinsky,male,,2005,http://www.nytimes.com/2005/03/27/books/review/027TEPPER.html,distant star distant star ,(Literature; Cultural; Novels; European Literature; Fiction;';None)
02barc.html,02barc.html.txt,Bruce Barcott,male,Robert Sullivan,male,,2006,http://www.nytimes.com/2006/07/02/books/review/02barc.html,cross country: fifteen years and ninety thousand miles on the roads and cross country: fifteen years and ninety thousand miles on the roads and ,(Autobiography; Travel; Humor; Nonfiction;';1582345279)
02BLYTHEL.html,02BLYTHEL.html.txt,Will Blythe,male,George Plimpton,male,,2005,http://www.nytimes.com/2005/01/02/books/review/02BLYTHEL.html,man in the flying lawn chair  the man in the flying lawn chair  the ,(;';0573629854)
02brouwer.html,02brouwer.html.txt,Joel Brouwer,male,Ishmael Reed,male,,2006,http://www.nytimes.com/2006/07/02/books/review/02brouwer.html,new and collected poems  1964-2006 new and collected poems  1964-2006 ,(Poetry;';0786717882)
